Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
0.000,0.009,0.000,0.000,0.258,0.258,0.0000,-0.4133
1.000,0.009,0.110,0.000,0.190,0.324,0.0000,-0.5570
2.000,0.009,0.220,0.001,0.127,0.389,0.0000,-0.7646
3.000,0.010,0.330,0.001,0.079,0.456,0.0000,-1.0549
4.000,0.010,0.439,0.001,0.051,0.526,0.0000,-1.4350
5.000,0.011,0.548,0.002,0.034,0.600,0.0000,-1.9054
6.000,0.011,0.655,0.003,0.025,0.683,0.0000,-2.4635
7.000,0.012,0.761,0.004,0.019,0.773,0.0000,-3.1053
9.000,0.013,0.960,0.008,0.012,0.944,0.0000,-4.6148
10.000,0.015,1.068,0.008,0.011,0.982,0.0000,-5.5256
11.000,0.017,1.169,0.008,0.009,1.000,0.0000,-6.4728
12.000,0.018,1.255,0.012,0.008,1.000,0.0000,-7.4657
13.000,0.021,1.333,0.016,0.007,1.000,0.0000,-8.4689
14.000,0.023,1.391,0.022,0.007,1.000,0.0000,-9.4037
15.000,0.027,1.433,0.028,0.006,1.000,0.0000,-10.2640
16.000,0.034,1.460,0.031,0.006,1.000,0.0000,-11.0177
17.000,0.044,1.463,0.030,0.005,1.000,0.0000,-11.5661
18.000,0.064,1.422,0.021,0.005,1.000,0.0000,-11.6886
19.000,0.098,1.302,0.003,0.005,1.000,0.0000,-10.8891
20.000,0.147,1.126,-0.024,0.005,1.000,0.0000,-9.0750
21.000,0.189,1.023,-0.049,0.005,1.000,0.0000,-7.5488
22.000,0.229,0.962,-0.073,0.005,1.000,0.0000,-5.9166
25.000,0.298,0.991,-0.115,0.002,1.000,0.0000,-3.5698
26.000,0.313,1.019,-0.126,0.001,1.000,0.0000,-3.3254
27.000,0.326,1.048,-0.136,0.001,1.000,0.0000,-3.3068
28.000,0.338,1.076,-0.146,0.001,1.000,0.0000,-3.2768
29.000,0.351,1.104,-0.157,0.000,1.000,0.0000,-3.1929
30.000,0.363,1.131,-0.168,0.000,1.000,0.0000,-3.1479
31.000,0.373,1.156,-0.179,0.000,1.000,0.0000,-3.2495
32.000,0.385,1.181,-0.190,0.000,1.000,0.0000,-3.1823
33.000,0.395,1.205,-0.201,0.000,1.000,0.0000,-3.1513
34.000,0.405,1.228,-0.212,0.000,1.000,0.0000,-3.1198
35.000,0.413,1.249,-0.223,0.000,1.000,0.0000,-3.2103
36.000,0.421,1.269,-0.235,0.000,1.000,0.0000,-3.1950
37.000,0.428,1.288,-0.246,0.000,1.000,0.0000,-3.1928
38.000,0.435,1.305,-0.258,0.000,1.000,0.0000,-3.1698
39.000,0.442,1.320,-0.270,0.000,1.000,0.0000,-3.1497
40.000,0.448,1.333,-0.281,0.000,1.000,0.0000,-3.2446
